"n","Sobol","GHalton","Korobov"
2,9.54270362854004e-05,4.88638877868652e-05,5.15520572662354e-05
4,7.23063945770264e-05,4.2492151260376e-05,5.24282455444336e-05
8,7.08341598510742e-05,4.37796115875244e-05,5.1116943359375e-05
16,6.95168972015381e-05,4.92095947265625e-05,5.07771968841553e-05
32,7.20560550689697e-05,6.06000423431397e-05,5.27918338775635e-05
64,7.3772668838501e-05,8.22663307189941e-05,5.60998916625977e-05
128,7.39812850952148e-05,0.000135815143585205,4.8595666885376e-05
256,5.47230243682861e-05,0.000154083967208862,3.15666198730469e-05
512,5.6380033493042e-05,0.000205069780349731,2.78592109680176e-05
1024,3.99529933929443e-05,0.000294655561447144,2.25484371185303e-05
2048,0.000190907716751099,0.000445359945297241,2.58266925811768e-05
4096,4.03642654418945e-05,0.000905990600585938,3.53157520294189e-05
8192,5.89191913604736e-05,0.00185524225234985,4.9746036529541e-05
16384,9.48190689086914e-05,0.00387577414512634,0.000196468830108643
32768,0.00017167329788208,0.00848598480224609,0.000471311807632446
65536,0.000865340232849121,0.0171430766582489,0.00040622353553772
131072,0.000900536775588989,0.0342658460140228,0.000934261083602905
262144,0.00171575546264648,0.0679497420787811,0.00170266032218933
524288,0.00661118626594543,0.139406901597977,0.00321875810623169
1048576,0.0104378163814545,0.290627962350845,0.0115818023681641
