dimension,IIDStdUniform_solution,IIDStdGaussian_solution,Lattice_solution,Sobol_solution,IIDStdUniform_time,IIDStdGaussian_time,Lattice_time,Sobol_time,IIDStdUniform_n,IIDStdGaussian_n,Lattice_n,Sobol_n
1.0,0.4601075892831807,0.46112341615648783,0.46009942777623697,0.45979311888922786,0.0010069980000000367,0.0003353753333333505,0.00056274033333333,0.004375290333333393,3995.0,3331.0,21.333333333333332,21.333333333333332
2.0,0.6026286743817006,0.6041449379392323,0.6035310464237053,0.603750906762805,0.003270618666666595,0.0007982813333332986,0.0006815983333333294,0.007702621999999974,10309.0,9456.0,21.333333333333332,42.666666666666664
3.0,0.7297213475997765,0.7235950954392653,0.722662429733144,0.7234575571877828,0.008829999000000033,0.002229537666666707,0.0012678433333332961,0.011445657000000034,24347.666666666668,23533.333333333332,85.33333333333333,85.33333333333333
4.0,0.7269711796724264,0.724314088493927,0.7198642742402037,0.7217503947213005,0.04397752566666657,0.0065629093333332555,0.0013932763333333043,0.015894424000000146,101510.33333333333,67212.0,85.33333333333333,170.66666666666666
5.0,0.37821061908905135,0.377494276535886,0.379103454769564,0.3788829481314457,0.8143643400000004,0.050341756333333265,0.0039415263333329635,0.028480034666667226,1554720.6666666667,415496.6666666667,341.3333333333333,682.6666666666666
6.0,-0.7757484965367186,-0.773484298271972,-0.7753376130979214,-0.7760292334286851,0.7930155686666668,0.2928137436666667,0.004585232333332338,0.03138301500000059,1213683.0,2120862.0,341.3333333333333,682.6666666666666
7.0,-3.6788069142485518,-3.68100639428627,-3.6862134029834315,-3.6951947210481513,0.13348043533333373,0.0214067663333329,0.005144099333333448,0.02935045300000046,183707.0,140695.0,341.3333333333333,341.3333333333333
8.0,-10.14245568785563,-10.17712088441018,-10.201320230776636,-10.20407210726943,0.06330810299999949,0.008954049999999825,0.003294887333332497,0.022054844999999546,75123.0,53868.0,170.66666666666666,170.66666666666666
9.0,-23.690283066181987,-23.834371440290898,-23.884932613463207,-23.867204927997637,0.028255008666666487,0.00559100466666725,0.003515068333333223,0.026170073666666127,28459.666666666668,29839.666666666668,170.66666666666666,170.66666666666666
10.0,-51.10357869325153,-51.142283169114144,-51.36908430205143,-51.38731299734206,0.01774746833333296,0.0033836233333334556,0.003775176666666861,0.027126817666665914,17898.0,16449.333333333332,170.66666666666666,170.66666666666666
11.0,-104.60677127372604,-104.9104558339402,-105.14640525145934,-105.22769618952854,0.012601599333333269,0.0022141256666673805,0.004065721666666633,0.03172645766666685,11503.333333333334,10107.666666666666,170.66666666666666,170.66666666666666
12.0,-207.24029901715247,-207.39399295327522,-208.31147666283513,-208.65508628626944,0.010033890333333536,0.0018281416666674488,0.004295834333333914,0.031499614666666766,8572.666666666666,7802.666666666667,170.66666666666666,170.66666666666666
13.0,-399.33430584651825,-400.609802986502,-401.0848709580441,-401.037306077147,0.008646397999999778,0.002518044000000922,0.005971063000000498,0.03662002533333227,4537.333333333333,5826.333333333333,170.66666666666666,170.66666666666666
14.0,-758.8895723108598,-758.8785210051127,-761.4224430881392,-760.5835973546764,0.005679300666666147,0.001073649666666417,0.002764975999999327,0.027585752333333602,3975.3333333333335,3672.6666666666665,85.33333333333333,85.33333333333333
15.0,-1416.639660764128,-1412.6803095078374,-1419.6831055502291,-1424.828129500925,0.0053511920000003,0.0010256996666662133,0.004966641000000512,0.03940944800000068,3180.6666666666665,2971.0,170.66666666666666,170.66666666666666
16.0,-2613.656320633056,-2616.8648785520904,-2610.265067803796,-2620.1735332817525,0.004703938666666592,0.0006999193333333172,0.0030975046666673243,0.03181834533333353,2858.6666666666665,1765.6666666666667,85.33333333333333,85.33333333333333
17.0,-4776.302960671556,-4760.8305376205435,-4772.14485779161,-4772.881287260779,0.0036872583333327213,0.0008790160000001398,0.005474409999999115,0.03683244733333287,1758.6666666666667,1818.0,170.66666666666666,85.33333333333333
18.0,-8637.993833564076,-8613.878381316645,-8631.779009315456,-8633.940118958324,0.0030890363333332025,0.0007068746666665978,0.003511960999999767,0.037344048000000164,1379.0,1280.6666666666667,85.33333333333333,85.33333333333333
19.0,-15490.780152534804,-15475.149652713031,-15429.878649002489,-15548.72556339664,0.003120229333332484,0.0007194389999997478,0.003391211333332459,0.04165887899999987,1394.0,1031.6666666666667,85.33333333333333,85.33333333333333
20.0,-27610.523897164847,-27675.35533596165,-27642.59814870823,-27611.797497708725,0.0032305673333337856,0.0006732173333337718,0.003794417333332708,0.03826565633333345,1288.3333333333333,985.0,85.33333333333333,85.33333333333333
21.0,-48919.64576888945,-48850.661085606,-48725.285805485975,-48667.10023003161,0.0033260126666666188,0.0007061203333336152,0.0039392369999996886,0.04212455233333282,1211.6666666666667,944.3333333333334,85.33333333333333,85.33333333333333
22.0,-86084.0144471646,-85751.63738272595,-85844.0520685377,-85890.33632770843,0.003059339666666716,0.0007353823333329975,0.006628307333334267,0.04314795933333334,1091.3333333333333,989.3333333333334,170.66666666666666,85.33333333333333
23.0,-151045.58134013406,-150038.65821194393,-150246.69528029807,-149970.66716719072,0.004204285333333502,0.0008314830000000958,0.006935690666666734,0.05202698366666662,1544.3333333333333,1426.6666666666667,170.66666666666666,170.66666666666666
24.0,-263766.65029345173,-261277.3968510071,-260904.435781355,-260711.28535627303,0.004624757666666331,0.0008486503333327752,0.0039936446666667775,0.04814186899999958,1773.0,1494.3333333333333,85.33333333333333,85.33333333333333
25.0,-454218.741951151,-452007.0725177233,-452297.6246090901,-452194.44695903757,0.006434465333332658,0.001050928333333682,0.0074644516666673155,0.05057193966666773,2369.6666666666665,2100.6666666666665,170.66666666666666,170.66666666666666
26.0,-784266.8604138772,-778288.9834333857,-778537.3868273612,-779418.6375063349,0.007423932666666151,0.0011748913333337423,0.004326235333333983,0.04783576466666636,2868.3333333333335,2410.3333333333335,85.33333333333333,85.33333333333333
27.0,-1340457.82227578,-1330858.3991246002,-1334787.3002834192,-1327307.003269079,0.01001440633333317,0.0014099810000007078,0.008170148333333552,0.054824233666667034,3910.3333333333335,2883.3333333333335,170.66666666666666,85.33333333333333
28.0,-2287871.8881157693,-2277520.581038106,-2268880.220454166,-2268425.0183465593,0.010362148666667773,0.0017580023333323425,0.0045615590000001776,0.05470405000000037,3812.3333333333335,3584.3333333333335,85.33333333333333,170.66666666666666
29.0,-3875755.8080144823,-3853765.5845253076,-3847755.488314885,-3837479.4329811297,0.015383907000000363,0.0024725523333349506,0.00862802099999982,0.05772400999999879,5434.333333333333,4454.333333333333,170.66666666666666,170.66666666666666
30.0,-6513501.919286965,-6493714.946948466,-6462910.358588097,-6480609.843286537,0.020601581666667812,0.0028902560000005906,0.00501298733333518,0.056925987666666344,7026.666666666667,5234.666666666667,85.33333333333333,170.66666666666666
31.0,-10898999.067425078,-10865249.755955268,-10846352.222354217,-10890530.629680617,0.02926354333333118,0.0031692583333343314,0.009262923666668144,0.053915087666664384,8693.333333333334,5702.333333333333,170.66666666666666,85.33333333333333
32.0,-18134965.343473706,-18033902.96856088,-17964157.664974064,-18021100.304912057,0.03234238900000008,0.0044852030000015475,0.004986566333334015,0.05922422766666576,9331.0,7694.666666666667,85.33333333333333,170.66666666666666
33.0,-29857966.70494671,-29661743.270347863,-29586247.006275564,-29637795.07188632,0.041835964999999455,0.005040774333333313,0.0052174196666664825,0.06037070800000066,11939.0,8713.0,85.33333333333333,170.66666666666666
34.0,-48782348.70124643,-48609371.21771232,-48502088.28852292,-48477978.52318934,0.06078997499999872,0.006241576999999647,0.009971519333333845,0.06274115666666565,17495.0,10537.333333333334,170.66666666666666,170.66666666666666
35.0,-78830419.39971298,-78742193.24631108,-78351689.4106454,-78667769.51584606,0.07438982400000071,0.010510491333332558,0.00550312200000036,0.06222477966666654,20959.666666666668,17084.0,85.33333333333333,170.66666666666666
36.0,-126073748.13872772,-125959366.28747566,-125830026.58830766,-125853719.39631224,0.097720557,0.013221825666666595,0.010486113000001277,0.06386674933333343,26975.0,21011.333333333332,170.66666666666666,170.66666666666666
37.0,-198948122.7634987,-198654250.35005283,-198568253.83976278,-199019541.71349847,0.13170669033333363,0.016923435666666837,0.010718955000001529,0.06412653033333271,35589.666666666664,26123.333333333332,170.66666666666666,170.66666666666666
38.0,-308823878.4510233,-308184885.8693497,-308130203.9324215,-307888693.8407151,0.18981615400000132,0.025243407666664552,0.005808138999997918,0.07467848033333269,49636.666666666664,38703.666666666664,85.33333333333333,341.3333333333333
39.0,-469786832.81073445,-466770787.23806316,-468673362.3532359,-467796983.5458748,0.25156728533333467,0.0390573036666666,0.011189119999999756,0.06687604399999951,63948.666666666664,58070.0,170.66666666666666,170.66666666666666
40.0,-688757098.7225155,-688610719.4582018,-690177809.0853347,-690386338.5147041,0.3791595123333333,0.05439151666666694,0.01146101766666637,0.07713746500000222,94912.33333333333,78244.0,170.66666666666666,341.3333333333333
