absTol,CLT_stdUniform_sol,CLT_stdUniform_runTime,CLT_stdGaussian_sol,CLT_stdGaussian_runTime,CLT_Rep_lattice_sol,CLT_Rep_lattice_runTime,CLT_Rep_Sobol_sol,CLT_Rep_Sobol_runTime
0.01,6.209011983780665,7.913113117218018,6.199992557547823,3.9696381092071533,6.200057766335487,0.6799454689025879,6.2120285237252295,0.41630125045776367
0.012,6.211436508415545,5.055054426193237,6.200769045472431,2.811065435409546,6.201222750079905,0.48383569717407227,6.2120285237252295,0.3954143524169922
0.014,6.210204763128226,3.7135844230651855,6.20341376174907,1.9525394439697266,6.201222750079905,0.499342679977417,6.2120285237252295,0.39636874198913574
0.016,6.2066558000101155,2.938305139541626,6.195951807047198,1.494347095489502,6.206381957819794,0.3825061321258545,6.2120285237252295,0.3789095878601074
0.018000000000000002,6.206871839933523,2.1525301933288574,6.19859403622357,1.2754063606262207,6.206381957819794,0.40253663063049316,6.209105316875992,0.3489656448364258
0.02,6.206922015440593,1.9446687698364258,6.20194607482493,1.0113606452941895,6.206381957819794,0.4039158821105957,6.209105316875992,0.3411834239959717
0.022,6.201139275570291,1.510735273361206,6.197616624370687,0.8278241157531738,6.206381957819794,0.39850831031799316,6.209105316875992,0.3434417247772217
0.024,6.201809771847814,1.2851471900939941,6.200288507254383,0.7392892837524414,6.206381957819794,0.39524292945861816,6.209105316875992,0.33989524841308594
0.026000000000000002,6.199578410544431,1.0955615043640137,6.199688793533917,0.598090648651123,6.206381957819794,0.4101107120513916,6.209105316875992,0.35292553901672363
0.028000000000000004,6.200969913588348,0.9331161975860596,6.1978580904476015,0.5037949085235596,6.206381957819794,0.3877696990966797,6.209105316875992,0.3367044925689697
0.03,6.203888949167473,0.7862639427185059,6.197652055521317,0.4299190044403076,6.206381957819794,0.37587499618530273,6.209105316875992,0.3330690860748291
0.032,6.204544704579484,0.710235595703125,6.199366165623389,0.38257646560668945,6.206381957819794,0.3834362030029297,6.209105316875992,0.33757758140563965
0.034,6.2002679791599435,0.6892094612121582,6.200039447370689,0.3481419086456299,6.206381957819794,0.39458346366882324,6.209105316875992,0.3421506881713867
0.036000000000000004,6.203409227906175,0.565929651260376,6.205047195694502,0.3202016353607178,6.206381957819794,0.48831915855407715,6.209105316875992,0.4281473159790039
0.038,6.204783073722967,0.5783326625823975,6.212412809843588,0.29054832458496094,6.206381957819794,0.3992006778717041,6.209105316875992,0.3493003845214844
0.04,6.209410134211095,0.44825100898742676,6.216229496334148,0.2593421936035156,6.193026562157902,0.33234119415283203,6.209105316875992,0.33156490325927734
0.042,6.215221166649623,0.40528202056884766,6.213082049671514,0.22646546363830566,6.193026562157902,0.32707977294921875,6.209105316875992,0.33359217643737793
0.044000000000000004,6.21219915248566,0.37885284423828125,6.212307413111668,0.2051682472229004,6.193026562157902,0.3233330249786377,6.209105316875992,0.32975077629089355
0.046000000000000006,6.208385506655611,0.3483238220214844,6.212946233391703,0.19025683403015137,6.193026562157902,0.3265211582183838,6.209105316875992,0.33605504035949707
0.048,6.2136801257827905,0.33231163024902344,6.2100792612588105,0.18129944801330566,6.193026562157902,0.32961130142211914,6.209105316875992,0.3284485340118408
0.05,6.195802898456463,0.3041961193084717,6.209196090098048,0.16460180282592773,6.193026562157902,0.3324439525604248,6.209105316875992,0.3386263847351074
