2,0.00021375,0.00031293,0.0001426
4,0.00013767,0.00023042,0.00010508
8,0.00013403,0.00022757,0.00010312
16,0.00013238,0.00035342,0.00011573
32,0.00017388,0.00048845,0.00015018
64,0.00015355,0.0014954,0.00011395
128,0.00014935,0.0004359,0.00012265
256,0.00017655,0.0002779,0.0001358
512,0.00018392,0.00022945,0.00017175
1024,0.0001891,0.0002975,0.00024458
2048,0.00021085,0.00025895,0.00041208
4096,0.00024907,0.00032498,0.00078732
8192,0.00030613,0.00029712,0.001572
16384,0.00046038,0.00037033,0.0031272
32768,0.00071015,0.00048447,0.006548
65536,0.0011423,0.00080005,0.012717
1.3107e+05,0.0018821,0.0013023,0.027531
2.6214e+05,0.0037553,0.0024667,0.05763
5.2429e+05,0.0070626,0.0045157,0.12423
1.0486e+06,0.014109,0.0084882,0.25185
